date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:18	4948/4948	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:17%20GMT	https://www.britishmuseum.org/visit/family-visits	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/family-visits	(from https://www.britishmuseum.org/)
14:26:18	4945/4945	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:17%20GMT	https://www.britishmuseum.org/visit/group-visits	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/group-visits.10.delayed	(from https://www.britishmuseum.org/)
14:26:18	4936/4936	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:18%20GMT	https://www.britishmuseum.org/visit/audio-app	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/audio-app.11.delayed	(from https://www.britishmuseum.org/)
14:26:19	4954/4954	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:18%20GMT	https://www.britishmuseum.org/visit/out-hours-tours	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/out-hours-tours.12.delayed	(from https://www.britishmuseum.org/)
14:26:19	4954/4954	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:19%20GMT	https://www.britishmuseum.org/visit/tours-and-talks	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/tours-and-talks.13.delayed	(from https://www.britishmuseum.org/)
14:26:20	4948/4948	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:19%20GMT	https://www.britishmuseum.org/visit/object-trails	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/object-trails.14.delayed	(from https://www.britishmuseum.org/)
14:26:20	4969/4969	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:20%20GMT	https://www.britishmuseum.org/visit/accessibility-museum	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/accessibility-museum.15.delayed	(from https://www.britishmuseum.org/)
14:26:21	4951/4951	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:20%20GMT	https://www.britishmuseum.org/visit/food-and-drink	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/food-and-drink.16.delayed	(from https://www.britishmuseum.org/)
14:26:21	4999/4999	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:20%20GMT	https://www.britishmuseum.org/visit/late-opening-on-fridays	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/late-opening-on-fridays.17.delayed	(from https://www.britishmuseum.org/)
14:26:22	4939/4939	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:21%20GMT	https://www.britishmuseum.org/visit/museum-map	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/visit/museum-map.18.delayed	(from https://www.britishmuseum.org/)
14:26:22	4945/4945	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:21%20GMT	https://www.britishmuseum.org/exhibitions-events	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/exhibitions-events.19.delayed	(from https://www.britishmuseum.org/)
14:26:23	210078/210078	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202026%2011:07:56%20GMT	https://www.britishmuseum.org/collection	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/collection.html	(from https://www.britishmuseum.org/)
14:26:23	4951/4951	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:23%20GMT	https://www.britishmuseum.org/collection/galleries	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/collection/galleries.1b.delayed	(from https://www.britishmuseum.org/)
14:26:24	4882/4882	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:23%20GMT	https://www.britishmuseum.org/blog	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/blog	(from https://www.britishmuseum.org/)
14:26:24	4969/4969	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:23%20GMT	https://www.britishmuseum.org/the-british-museum-podcast	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/the-british-museum-podcast.1d.delayed	(from https://www.britishmuseum.org/)
